[102358]: 49525ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:721 AddRecognizer
[102358]: 49526ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcf6b096cc0; name='UnsupportedV2ServiceProperties'; value=''
[102358]: 49526ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0x7fcf6b096800
[102358]: 49526ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0x7fcf6b096800, p=0x0x7fcf6b096800, tot=1
[102358]: 49526ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:213 recognizer_create_speech_recognizer_from_source_lang_config
[102358]: 49526ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0x7fcf6b096cc0
[102358]: 49526ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0x7fcf6b096cc0, p=0x0x7fcf6b096cc0, tot=3
[102358]: 49526ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x0x7fcf5b4124d8
[102358]: 49526ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=ISpxSourceLanguageConfig, h=0x0x7fcf5b4124d8, p=0x0x7fcf5b4124d8, tot=0
[102358]: 49526ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcf6b096cc0; name='SPEECH-RecoMode'; value='DICTATION'
[102358]: 49526ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1116 StartRecognitionAsync
[102358]: 49527ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0x7fcfcafee558
[121664]: 49527ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1119 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[102358]: 49527ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x0x7fcfcafee558, p=0x0x7fcfcafee558, tot=1
[121664]: 49527ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [111195ll]
[111195]: 49527ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1176 StartRecognizing
[111195]: 49527ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1177 [0x7fcfcb16ee00]CSpxAudioStreamSession::StartRecognizing
[111195]: 49527ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3581 [0x7fcfcb16ee00]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[111195]: 49527ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1219 [0x7fcfcb16ee00]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[111195]: 49527ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3163 StartAudioPump
[111195]: 49527ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3164 [0x7fcfcb16ee00]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [0x7fcfbafcf848]
[111195]: 49527ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1446 [0x7fcfcb16ee00]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[111195]: 49527ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1457 [0x7fcfcb16ee00]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 06eb4092c33a4aa18e00c4fb9f78e312
[111195]: 49527ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [502190ll]
[502190]: 49527ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1724 DispatchEvent task started...
[111195]: 49527ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfcb16ee90; name='SPEECH-MaxBufferSizeMs'; value='66000'
[111195]: 49527ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfcb16ee90; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
[111195]: 49527ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfcb16ee90; name='SPEECH-BufferSizePercentSwitchToHighRate'; value='9'
[111195]: 49527ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:104 [0x7fcf5b6093b0] Is VAD Gating = 0, Is RNNT reco engine = 0, Is conversation transcriber = 0, Is meeting transcriber = 0, Is async transcriber  = 0, fastLane = 5000 msec (160000 bytes), maxDuration = 66000 msec, highDuration = 33000 msec, lowDuration = 5940 msec, lowRate = 100%, highRate = 200%
[502190]: 49528ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxSessionEventArgs' as '418547108'
[502190]: 49528ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1724 DispatchEvent task complete!
[111195]: 49528ms SPX_DBG_TRACE_FUNCTION:  audio_buffer.cpp:92 NewTurn
[111195]: 49528ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x007fcfcb16ee90; name='IsKeywordAndSpeechRecognizer'; value='false'
[111195]: 49528ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2785 EnsureInitRecoEngineAdapter
[111195]: 49528ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:2789 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter EnsureResetEngineEngineAdapterComplete
[111195]: 49528ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2895 EnsureResetEngineEngineAdapterComplete
[111195]: 49528ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2814 InitRecoEngineAdapter
[111195]: 49528ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxUspRecoEngineAdapterRetry_OffsetFixupWrapper' as '806006714'
[111195]: 49528ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfcb16ee90; name='SPEECH-Region'; value='francecentral'
[111195]: 49528ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x007fcfcb16ee90; name='INTENT-region'; value='francecentral'
[111195]: 49528ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3247 [0x7fcfcb16ee00]CSpxAudioStreamSession::StartAudioPump: Starting pump[0x7fcfbafcf848]...
[111195]: 49528ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxBufferData' as '705421989'
[111195]: 49528ms SPX_TRACE_VERBOSE:  buffer_data.cpp:118 [0x7fcfbafe6b90]CSpxBufferData::EnsureInitRingBuffer - Init
[111195]: 49528ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[111195]: 49528ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfcb16ee90; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfcb16ee90; name='AudioConfig_SampleRateForCapture'; value='16000'
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfcb16ee90; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxAudioProcessorWriteToAudioSourceBuffer' as '354155511'
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:111 [0x7fcf6afe7480]CSpxAudioPump::StartPump():
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:516 [0x7fcf6afe7480]CSpxAudioPump::WaitForPumpStart() ... pre m_cv.wait_for()
[218779]: 49529ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_pump.cpp:173 *** AudioPump THREAD started! ***
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:176 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): getting format from reader... 
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:186 CSpxAudioPump::PumpThread(): setting format on processor...
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:208 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): allocating our first buffer
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:279 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): Starting loop ... => frame size: 3200 | wFormatTag: 'PCM'| nChannels: 1 | nSamplesPerSec:  16000 | nAvgBytesPerSec: 32000 | nBlockAlign: 2 | wBitsPerSample: 16 | cbSize: 0 
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:244 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(), checkAndChangeState: changing states as requested: 'Idle' => 'Processing'
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:522 [0x7fcf6afe7480]CSpxAudioPump::WaitForPumpStart() ... post m_cv.wait_for(); state='Processing' (requestedState='Processing')
[218779]: 49529ms SPX_TRACE_INFO:  wav_file_reader.cpp:256 AUDIO Data Chunk @44 length=996480
[111195]: 49529ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3163 StartAudioPump
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[111195]: 49529ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1176 StartRecognizing
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxBufferProperties' as '809583448'
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:466 [0x7fcfcb16ee00]CSpxAudioStreamSession::SetFormat: format != nullptr
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3581 [0x7fcfcb16ee00]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 4/1 => 4/2
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:471 [0x7fcfcb16ee00]CSpxAudioStreamSession::SetFormat: Now ProcessingAudio ...
